```text
Time = 0   | Reset = 1 | Count = 15 | Binary = 1111
Time = 15  | Reset = 0 | Count = 14 | Binary = 1110
Time = 25  | Reset = 0 | Count = 13 | Binary = 1101
Time = 35  | Reset = 0 | Count = 12 | Binary = 1100
Time = 45  | Reset = 0 | Count = 11 | Binary = 1011
Time = 55  | Reset = 0 | Count = 10 | Binary = 1010
Time = 65  | Reset = 0 | Count = 9  | Binary = 1001
Time = 75  | Reset = 0 | Count = 8  | Binary = 1000
Time = 85  | Reset = 0 | Count = 7  | Binary = 0111
Time = 95  | Reset = 0 | Count = 6  | Binary = 0110
Time = 105 | Reset = 0 | Count = 5  | Binary = 0101
Time = 115 | Reset = 0 | Count = 4  | Binary = 0100
Time = 125 | Reset = 0 | Count = 3  | Binary = 0011
Time = 135 | Reset = 0 | Count = 2  | Binary = 0010
Time = 145 | Reset = 0 | Count = 1  | Binary = 0001
Time = 155 | Reset = 0 | Count = 0  | Binary = 0000
Time = 165 | Reset = 0 | Count = 15 | Binary = 1111
Time = 175 | Reset = 0 | Count = 14 | Binary = 1110
```
